old  12:                 snp.dbid            = &m_dbid
new  12:                 snp.dbid            = 3990489666
old  13:         and     snp.instance_number = &m_instance
new  13:         and     snp.instance_number =          1
old  19:         and     sst.stat_name       like ('%&m_stat_name%')
new  19:         and     sst.stat_name       like ('%CPU used by this session%')

START_OF_DELTA        PREV_VALUE STAT_NAME                                                              CURR_VALUE            VALUE
=============== ================ ================================================================ ================ ================
May-14 08:00:29                0 IPC CPU used by this session                                                    0                0
May-14 08:00:29                0 IPC CPU used by this session                                                    0                0
May-14 08:00:29                0 IPC CPU used by this session                                                    0                0
May-14 08:00:29          859,649 CPU used by this session                                                        0         -859,649
May-14 09:00:44          948,404 CPU used by this session                                                        0         -948,404
May-14 09:00:44                0 IPC CPU used by this session                                            1,094,145        1,094,145
May-14 09:00:44          948,404 CPU used by this session                                                        0         -948,404
May-14 09:00:44          948,404 CPU used by this session                                                1,094,145          145,741
May-14 09:00:44                0 global enqueue CPU used by this session                                         0                0
May-14 09:00:44                0 global enqueue CPU used by this session                                         0                0
May-14 09:00:44                0 global enqueue CPU used by this session                                         0                0
May-14 09:00:44                0 global enqueue CPU used by this session                                 1,094,145        1,094,145
May-14 09:00:44                0 gc CPU used by this session                                                     0                0
May-14 09:00:44                0 gc CPU used by this session                                                     0                0
May-14 09:00:44                0 gc CPU used by this session                                                     0                0

START_OF_DELTA        PREV_VALUE STAT_NAME                                                              CURR_VALUE            VALUE
=============== ================ ================================================================ ================ ================
May-14 09:00:44                0 gc CPU used by this session                                             1,094,145        1,094,145
May-14 09:00:44                0 IPC CPU used by this session                                                    0                0
May-14 09:00:44                0 IPC CPU used by this session                                                    0                0
May-14 09:00:44                0 IPC CPU used by this session                                                    0                0
May-14 09:00:44          948,404 CPU used by this session                                                        0         -948,404
May-14 10:00:58        1,094,145 CPU used by this session                                                        0       -1,094,145
May-14 10:00:58                0 IPC CPU used by this session                                            1,211,438        1,211,438
May-14 10:00:58        1,094,145 CPU used by this session                                                        0       -1,094,145
May-14 10:00:58        1,094,145 CPU used by this session                                                1,211,438          117,293
May-14 10:00:58                0 global enqueue CPU used by this session                                         0                0
May-14 10:00:58                0 global enqueue CPU used by this session                                         0                0
May-14 10:00:58                0 global enqueue CPU used by this session                                         0                0
May-14 10:00:58                0 global enqueue CPU used by this session                                 1,211,438        1,211,438
May-14 10:00:58                0 gc CPU used by this session                                                     0                0
May-14 10:00:58                0 gc CPU used by this session                                                     0                0
May-14 10:00:58                0 gc CPU used by this session                                                     0                0
May-14 10:00:58                0 gc CPU used by this session                                             1,211,438        1,211,438
May-14 10:00:58                0 IPC CPU used by this session                                                    0                0
May-14 10:00:58                0 IPC CPU used by this session                                                    0                0
May-14 10:00:58                0 IPC CPU used by this session                                                    0                0
May-14 10:00:58        1,094,145 CPU used by this session                                                        0       -1,094,145
May-14 11:00:12        1,211,438 CPU used by this session                                                        0       -1,211,438
May-14 11:00:12                0 IPC CPU used by this session                                            1,469,199        1,469,199
May-14 11:00:12        1,211,438 CPU used by this session                                                        0       -1,211,438
May-14 11:00:12        1,211,438 CPU used by this session                                                1,469,199          257,761
May-14 11:00:12                0 global enqueue CPU used by this session                                         0                0
May-14 11:00:12                0 global enqueue CPU used by this session                                         0                0
May-14 11:00:12                0 global enqueue CPU used by this session                                         0                0
May-14 11:00:12                0 global enqueue CPU used by this session                                 1,469,199        1,469,199
May-14 11:00:12                0 gc CPU used by this session                                                     0                0
May-14 11:00:12                0 gc CPU used by this session                                                     0                0
May-14 11:00:12                0 gc CPU used by this session                                                     0                0
May-14 11:00:12                0 gc CPU used by this session                                             1,469,199        1,469,199
May-14 11:00:12                0 IPC CPU used by this session                                                    0                0
May-14 11:00:12                0 IPC CPU used by this session                                                    0                0
May-14 11:00:12                0 IPC CPU used by this session                                                    0                0
May-14 11:00:12        1,211,438 CPU used by this session                                                        0       -1,211,438
May-14 12:00:27        1,469,199 CPU used by this session                                                        0       -1,469,199
May-14 12:00:27                0 IPC CPU used by this session                                            2,036,999        2,036,999
May-14 12:00:27        1,469,199 CPU used by this session                                                        0       -1,469,199
May-14 12:00:27        1,469,199 CPU used by this session                                                2,036,999          567,800
May-14 12:00:27                0 global enqueue CPU used by this session                                         0                0
May-14 12:00:27                0 global enqueue CPU used by this session                                         0                0
May-14 12:00:27                0 global enqueue CPU used by this session                                         0                0
May-14 12:00:27                0 global enqueue CPU used by this session                                 2,036,999        2,036,999
May-14 12:00:27                0 gc CPU used by this session                                                     0                0
May-14 12:00:27                0 gc CPU used by this session                                                     0                0
May-14 12:00:27                0 gc CPU used by this session                                                     0                0
May-14 12:00:27                0 gc CPU used by this session                                             2,036,999        2,036,999
May-14 12:00:27                0 IPC CPU used by this session                                                    0                0
May-14 12:00:27                0 IPC CPU used by this session                                                    0                0
May-14 12:00:27                0 IPC CPU used by this session                                                    0                0
May-14 12:00:27        1,469,199 CPU used by this session                                                        0       -1,469,199
May-14 13:00:42        2,036,999 CPU used by this session                                                        0       -2,036,999
May-14 13:00:42                0 IPC CPU used by this session                                            2,428,774        2,428,774
May-14 13:00:42        2,036,999 CPU used by this session                                                        0       -2,036,999
May-14 13:00:42        2,036,999 CPU used by this session                                                2,428,774          391,775

START_OF_DELTA        PREV_VALUE STAT_NAME                                                              CURR_VALUE            VALUE
=============== ================ ================================================================ ================ ================
May-14 13:00:42                0 global enqueue CPU used by this session                                         0                0
May-14 13:00:42                0 global enqueue CPU used by this session                                         0                0
May-14 13:00:42                0 global enqueue CPU used by this session                                         0                0
May-14 13:00:42                0 global enqueue CPU used by this session                                 2,428,774        2,428,774
May-14 13:00:42                0 gc CPU used by this session                                                     0                0
May-14 13:00:42                0 gc CPU used by this session                                                     0                0
May-14 13:00:42                0 gc CPU used by this session                                                     0                0
May-14 13:00:42                0 gc CPU used by this session                                             2,428,774        2,428,774
May-14 13:00:42                0 IPC CPU used by this session                                                    0                0
May-14 13:00:42                0 IPC CPU used by this session                                                    0                0
May-14 13:00:42                0 IPC CPU used by this session                                                    0                0
May-14 13:00:42        2,036,999 CPU used by this session                                                        0       -2,036,999
May-14 14:00:57        2,428,774 CPU used by this session                                                        0       -2,428,774
May-14 14:00:57                0 IPC CPU used by this session                                            3,090,543        3,090,543
May-14 14:00:57        2,428,774 CPU used by this session                                                        0       -2,428,774
May-14 14:00:57        2,428,774 CPU used by this session                                                3,090,543          661,769
May-14 14:00:57                0 global enqueue CPU used by this session                                         0                0
May-14 14:00:57                0 global enqueue CPU used by this session                                         0                0
May-14 14:00:57                0 global enqueue CPU used by this session                                         0                0
May-14 14:00:57                0 global enqueue CPU used by this session                                 3,090,543        3,090,543
May-14 14:00:57                0 gc CPU used by this session                                                     0                0
May-14 14:00:57                0 gc CPU used by this session                                                     0                0
May-14 14:00:57                0 gc CPU used by this session                                                     0                0
May-14 14:00:57                0 gc CPU used by this session                                             3,090,543        3,090,543
May-14 14:00:57                0 IPC CPU used by this session                                                    0                0
May-14 14:00:57                0 IPC CPU used by this session                                                    0                0
May-14 14:00:57                0 IPC CPU used by this session                                                    0                0
May-14 14:00:57        2,428,774 CPU used by this session                                                        0       -2,428,774
May-14 15:00:11        3,090,543 CPU used by this session                                                        0       -3,090,543
May-14 15:00:11                0 IPC CPU used by this session                                            3,809,309        3,809,309
May-14 15:00:11        3,090,543 CPU used by this session                                                        0       -3,090,543
May-14 15:00:11        3,090,543 CPU used by this session                                                3,809,309          718,766
May-14 15:00:11                0 global enqueue CPU used by this session                                         0                0
May-14 15:00:11                0 global enqueue CPU used by this session                                         0                0
May-14 15:00:11                0 global enqueue CPU used by this session                                         0                0
May-14 15:00:11                0 global enqueue CPU used by this session                                 3,809,309        3,809,309
May-14 15:00:11                0 gc CPU used by this session                                                     0                0
May-14 15:00:11                0 gc CPU used by this session                                                     0                0
May-14 15:00:11                0 gc CPU used by this session                                                     0                0
May-14 15:00:11                0 gc CPU used by this session                                             3,809,309        3,809,309
May-14 15:00:11                0 IPC CPU used by this session                                                    0                0
May-14 15:00:11                0 IPC CPU used by this session                                                    0                0
May-14 15:00:11                0 IPC CPU used by this session                                                    0                0
