
Owner                Name                      Type                      Memory Used                                                                                                                    
TNLRHT               HATR_COA_REGULATIONS_PK   PACKAGE BODY                    27742                                                                                                                    
SYS                  UTL_FILE                  PACKAGE BODY                    27516                                                                                                                    
GTCO_DW              MH_MSG_PK                 PACKAGE BODY                    27337                                                                                                                    
HNCO_DW              MH_MSG_PK                 PACKAGE BODY                    27217                                                                                                                    
CRCO_DW              MH_MSG_PK                 PACKAGE BODY                    27217                                                                                                                    
PACO_DW              MH_MSG_PK                 PACKAGE BODY                    27209                                                                                                                    
NICO_DW              MH_MSG_PK                 PACKAGE BODY                    27201                                                                                                                    
SVCO_DW              MH_MSG_PK                 PACKAGE BODY                    27201                                                                                                                    
FDIC                 BI_LOAD_RDW_CONTRACTS_PK  PACKAGE BODY                    26805                                                                                                                    
GTCO_DW              DW_COA_PK                 PACKAGE BODY                    26769                                                                                                                    
TNLROBS              BI_MSG_PK                 PACKAGE BODY                    26753                                                                                                                    
CRCO_DW              DW_COA_PK                 PACKAGE BODY                    26729                                                                                                                    
TNCOLOMBIA           BI_DATAMART_PK            PACKAGE BODY                    26713                                                                                                                    
SYS                  DBMS_AQ_SYS_EXP_INTERNAL  PACKAGE BODY                    26660                                                                                                                    
SYS                  DBMS_IJOB                 PACKAGE BODY                    26653                                                                                                                    
TNPUERTORICO         BI_GENERAL_PK             PACKAGE BODY                    26642                                                                                                                    
SYS                  DBMS_RULE_EXP_RL_INTERNAL PACKAGE BODY                    26637                                                                                                                    
BFI                  BI_LOAD_CUSTOMERS_PK      PACKAGE BODY                    26224                                                                                                                    
BFI                  BI_LOAD_GL_ACCOUNTS_PK    PACKAGE BODY                    25658                                                                                                                    
SYS                  DBMS_AQ_IMPORT_INTERNAL   PACKAGE BODY                    25587                                                                                                                    
FDIC                 BI_LOAD_OVERDRAFTS_PK     PACKAGE BODY                    25242                                                                                                                    
SYS                  DBMS_CDC_DPUTIL           PACKAGE BODY                    24395                                                                                                                    
FIN_BOBJ             BI_METRICS_PK             PACKAGE BODY                    23782                                                                                                                    
COL_DW               DW_LOAD_STATS_PK          PACKAGE BODY                    23687                                                                                                                    
BRFC_DW              BI_RDW_EOM_OUTPUT_PR      PACKAGE BODY                    23644                                                                                                                    
SYS                  DBMS_LOB                  PACKAGE BODY                    23316                                                                                                                    
SYS                  KUPD$DATA_INT             PACKAGE BODY                    23305                                                                                                                    
TNEC                 BI_DATAMART_PK            PACKAGE BODY                    22691                                                                                                                    
TNCR2                BI_DATAMART_PK            PACKAGE BODY                    22580                                                                                                                    
TNTT                 BI_DATAMART_PK            PACKAGE BODY                    22571                                                                                                                    
TNGT                 BI_DATAMART_PK            PACKAGE BODY                    22571                                                                                                                    
TNHT                 BI_DATAMART_PK            PACKAGE BODY                    22571                                                                                                                    
TNPE                 BI_DATAMART_PK            PACKAGE BODY                    22571                                                                                                                    
TNSV                 BI_DATAMART_PK            PACKAGE BODY                    22571                                                                                                                    
TNCR                 BI_DATAMART_PK            PACKAGE BODY                    22571                                                                                                                    
SYS                  DBMS_LOGSTDBY             PACKAGE BODY                    22521                                                                                                                    
BFI                  BI_CREATE_GL_CUR_RATES_FI PACKAGE BODY                    21466                                                                                                                    
                     LE_PK                                                                                                                                                                              
                                                                                                                                                                                                        
FDIC                 BI_LOAD_HIST_TABLES_PK    PACKAGE BODY                    21427                                                                                                                    
BFI                  BI_CREATE_GL_CUR_RATE_TRA PACKAGE BODY                    21426                                                                                                                    
                     IL_PK                                                                                                                                                                              
                                                                                                                                                                                                        
BFI                  BI_CREATE_DW_CALENDAR_TRA PACKAGE BODY                    21426                                                                                                                    
                     IL_PK                                                                                                                                                                              
                                                                                                                                                                                                        
BFI                  BI_CREATE_GL_CUSBASNO_TRA PACKAGE BODY                    21426                                                                                                                    
                     IL_PK                                                                                                                                                                              
                                                                                                                                                                                                        
BFI                  BI_CREATE_GL_ACCOUNTS_TRA PACKAGE BODY                    21426                                                                                                                    
                     IL_PK                                                                                                                                                                              
                                                                                                                                                                                                        
BFI                  BI_CREATE_GL_ACCOUNTS_FIL PACKAGE BODY                    21425                                                                                                                    
                     E_PK                                                                                                                                                                               
                                                                                                                                                                                                        
BFI                  BI_CREATE_GL_CUSBASNO_FIL PACKAGE BODY                    21425                                                                                                                    
                     E_PK                                                                                                                                                                               
                                                                                                                                                                                                        
BFI                  BI_CREATE_DW_CALENDAR_FIL PACKAGE BODY                    21425                                                                                                                    
                     E_PK                                                                                                                                                                               
                                                                                                                                                                                                        
SYS                  DBMS_STREAMS_DATAPUMP_UTI PACKAGE BODY                    21422                                                                                                                    
                     L                                                                                                                                                                                  
                                                                                                                                                                                                        
PRI_DW               CUSTOMER_RECORD_CHECK     PROCEDURE                       21420                                                                                                                    
BFI                  BI_LOAD_BFI_SMT_BKDN_PK   PACKAGE BODY                    21227                                                                                                                    
FDIC                 BI_LOAD_BCOS_INTEREST_PK  PACKAGE BODY                    20829                                                                                                                    
COL_DW               CUSTOMER_RECORD_CHECK     PROCEDURE                       20364                                                                                                                    
